bh_id,b_id,r_id,c_id
948,b000193,BBR0127,c000077
949,b000193,BBR0127,c000478
950,b000194,B0BR01,c000901
951,b000195,BBR0152,c000591
952,b000196,r02701,c000787
953,b000197,BBR015,c000807
954,b000197,BBR015,c000157
955,b000197,BBR015,c000154
956,b000198,GGC019,c000239
957,b000198,BBR0109,c000368
958,b000198,BBR0109,c000626
959,b000198,BBR0109,c000023
960,b000199,BBR085,c000881
961,b000199,BBR085,c000050
962,b000199,BBR085,c000323
963,b000199,BBR085,c000512
964,b000199,BBR085,c000739
965,b000200,r04900,c000425
966,b000200,r04900,c000243
967,b000200,r04900,c000320
968,b000201,BBR0100,c000998
969,b000202,r02101,c000200
970,b000203,r01202,c000323
971,b000204,BBR050,c000647
972,b000204,BBR050,c000522
973,b000204,BBR050,c000232
974,b000204,BBR050,c000016
975,b000205,GGC095,c000295
976,b000205,GGC095,c000841
977,b000205,GGC095,c000054
978,b000205,GGC095,c000393
979,b000205,GGC095,c000432
980,b000205,GGC095,c000012
981,b000206,r06000,c000347
982,b000206,r06000,c000167
983,b000207,r03804,c000143
984,b000208,BBR025,c000013
985,b000208,BBR025,c000491
986,b000208,BBR025,c000366
987,b000208,BBR025,c000056
988,b000209,r05000,c000781
989,b000209,r05000,c000436
990,b000209,r05000,c000929
991,b000210,G0GC04,c000284
992,b000210,G0GC04,c000580
993,b000210,G0GC04,c000940
994,b000210,GGC096,c000413
995,b000210,GGC096,c000856
996,b000210,BBR091,c000402
997,b000211,r03505,c000740
998,b000211,r03505,c000719
999,b000211,r03505,c000990
1000,b000211,r03505,c000781
1001,b000211,r03505,c000694
1002,b000212,r00904,c000096
1003,b000213,r03202,c000955
1004,b000213,r05401,c000870
1005,b000214,BBR084,c000364
1006,b000214,BBR084,c000167
1007,b000214,BBR084,c000526
1008,b000214,BBR084,c000881
1009,b000215,r03002,c000123
1010,b000215,r03002,c000277
1011,b000216,r04101,c000137
1012,b000217,BBR0123,c000492
1013,b000218,BBR081,c000681
1014,b000219,G0GC03,c000642
1015,b000219,G0GC03,c000456
1016,b000220,GGC074,c000591
1017,b000220,GGC074,c000641
1018,b000220,GGC074,c000437
1019,b000221,r02702,c000744
1020,b000221,GGC035,c000021
1021,b000221,GGC035,c000747
1022,b000221,GGC035,c000086
1023,b000221,GGC035,c000347
1024,b000221,GGC035,c000311
1025,b000221,GGC035,c000154
1026,b000221,r01305,c000863
1027,b000221,r01305,c000774
1028,b000221,r01305,c000053
1029,b000221,r01305,c000541
1030,b000222,r02303,c000147
1031,b000223,r03603,c000093
1032,b000224,r02804,c000890
1033,b000224,r02804,c000542
1034,b000224,r02804,c000839
1035,b000225,BBR040,c000885
1036,b000225,BBR040,c000020
1037,b000225,BBR040,c000550
1038,b000225,BBR040,c000730
1039,b000226,r01301,c000013
1040,b000227,GGC090,c000203
1041,b000228,BBR045,c000617
1042,b000228,BBR045,c000839
1043,b000228,BBR045,c000820
1044,b000228,BBR045,c000474
1045,b000229,GGC011,c000212
1046,b000229,GGC011,c000896
1047,b000230,r01103,c000012
1048,b000230,r01103,c000119
1049,b000231,r01304,c000997
1050,b000232,r03402,c000794
1051,b000233,BBR0151,c000257
1052,b000233,BBR0151,c000794
1053,b000234,GGC057,c000176
1054,b000234,GGC057,c000272
1055,b000234,GGC057,c000481
1056,b000235,r05100,c000204
1057,b000235,r05100,c000303
1058,b000236,BBR047,c000209
1059,b000236,BBR047,c000998
1060,b000236,BBR047,c000997
1061,b000236,BBR0134,c000697
1062,b000237,r05800,c000355
1063,b000237,r05800,c000414
1064,b000237,r05800,c000681
1065,b000237,r05800,c000427
1066,b000238,r02002,c000195
1067,b000238,r02002,c000819
1068,b000239,r02301,c000269
1069,b000240,r01702,c000747
1070,b000240,r01702,c000671
1071,b000241,BBR0117,c000014
1072,b000242,BBR0148,c000006
1073,b000243,BBR072,c000741
1074,b000244,GGC036,c000588
1075,b000245,BBR089,c000509
1076,b000245,BBR089,c000630
1077,b000246,BBR032,c000101
1078,b000246,GGC093,c000952
1079,b000246,GGC093,c000567
1080,b000246,GGC093,c000377
1081,b000246,r01404,c000968
1082,b000246,r01404,c000673
1083,b000246,r01404,c000601
1084,b000246,r01404,c000378
1085,b000247,GGC038,c000786
1086,b000247,GGC038,c000815
1087,b000247,GGC038,c000618
1088,b000247,GGC038,c000195
1089,b000248,BBR053,c000920
1090,b000248,BBR053,c000234
1091,b000248,BBR053,c000150
1092,b000248,BBR053,c000165
1093,b000249,BBR086,c000834
1094,b000249,BBR086,c000337
1095,b000250,r00801,c000225
1096,b000251,r03704,c000375
1097,b000251,r03704,c000891
1098,b000251,r03704,c000397
1099,b000251,r03704,c000112
1100,b000252,BBR046,c000537
1101,b000253,BBR056,c000220
1102,b000253,BBR056,c000189
1103,b000253,BBR056,c000674
1104,b000254,r01203,c000334
1105,b000254,r01203,c000881
1106,b000254,r01203,c000996
1107,b000254,r01203,c000288
1108,b000255,BBR034,c000769
1109,b000255,BBR034,c000198
1110,b000255,BBR034,c000996
1111,b000255,BBR034,c000330
1112,b000256,BBR093,c000005
1113,b000256,BBR093,c000360
1114,b000256,BBR093,c000340
1115,b000256,BBR093,c000578
1116,b000257,r05601,c000979
1117,b000257,r05601,c000614
1118,b000258,BBR0105,c000089
1119,b000258,BBR0105,c000160
1120,b000258,BBR0105,c000762
1121,b000258,BBR0105,c000084
1122,b000258,BBR0105,c000488
1123,b000258,BBR0105,c000129
1124,b000259,BBR074,c000065
1125,b000259,BBR074,c000615
1126,b000260,r01302,c000169
1127,b000260,r01302,c000320
1128,b000261,GGC094,c000959
1129,b000261,GGC094,c000897
1130,b000261,GGC094,c000074
1131,b000261,GGC094,c000364
1132,b000262,r03404,c000894
1133,b000263,GGC017,c000727
1134,b000264,r01703,c000593
1135,b000264,r01703,c000797
1136,b000264,r01703,c000838
1137,b000265,GGC071,c000846
1138,b000265,GGC071,c000984
1139,b000265,BBR082,c000321
1140,b000265,BBR082,c000432
1141,b000265,GGC016,c000343
1142,b000265,GGC016,c000620
1143,b000266,BBR026,c000154
1144,b000266,BBR026,c000853
1145,b000266,BBR026,c000354
1146,b000266,BBR026,c000249
1147,b000267,BBR024,c000621
1148,b000267,BBR024,c000382
1149,b000267,BBR024,c000385
1150,b000267,BBR024,c000701
1151,b000268,r01802,c000096
1152,b000268,r02304,c000492
1153,b000268,r02304,c000856
1154,b000269,BBR0122,c000538
1155,b000270,r04405,c000734
1156,b000270,r04405,c000539
1157,b000270,r04405,c000344
1158,b000271,BBR051,c000362
1159,b000272,G0GC08,c000857
1160,b000272,G0GC08,c000952
1161,b000272,G0GC08,c000436
1162,b000273,r02504,c000717
1163,b000274,r02204,c000594
1164,b000275,GGC051,c000949
1165,b000275,GGC051,c000972
1166,b000276,GGC092,c000588
1167,b000277,GGC097,c000488
1168,b000278,r02403,c000693
1169,b000278,r02403,c000815
1170,b000279,BBR090,c000439
1171,b000279,BBR090,c000691
1172,b000279,BBR090,c000850
1173,b000279,BBR061,c000409
1174,b000280,BBR014,c000132
1175,b000280,BBR014,c000120
1176,b000281,GGC0101,c000541
1177,b000281,GGC0101,c000146
1178,b000282,r01003,c000066
1179,b000282,r01003,c000208
1180,b000282,r01003,c000782
1181,b000282,r01003,c000615
1182,b000283,GGC033,c000466
1183,b000283,GGC033,c000455
1184,b000284,r03805,c000698
1185,b000284,r03805,c000683
1186,b000284,r03805,c000176
1187,b000284,r03805,c000834
1188,b000284,r03805,c000685
1189,b000284,r03805,c000394
1190,b000285,r02401,c000251
1191,b000286,BBR023,c000222
1192,b000286,BBR023,c000040
1193,b000286,BBR023,c000007
1194,b000286,BBR023,c000869
1195,b000287,BBR0116,c000166
1196,b000287,BBR0116,c000380
1197,b000287,BBR0116,c000090
1198,b000287,BBR0116,c000535
1199,b000288,r01303,c000569
1200,b000289,GGC025,c000248
1201,b000289,GGC025,c000896
1202,b000289,GGC025,c000241
1203,b000289,GGC025,c000484
1204,b000289,GGC025,c000409
1205,b000289,GGC025,c000146
1206,b000290,r03701,c000523
1207,b000291,r01901,c000906
1208,b000292,BBR042,c000900
1209,b000293,r04203,c000980
1210,b000293,r04203,c000100
1211,b000293,r04203,c000715
1212,b000294,r02405,c000948
1213,b000294,r02405,c000817
1214,b000294,r02405,c000030
1215,b000295,r06301,c000846
1216,b000295,r06301,c000020
1217,b000295,r06301,c000461
1218,b000296,GGC078,c000820
1219,b000297,BBR065,c000588
1220,b000297,BBR065,c000702
1221,b000297,BBR065,c000069
1222,b000297,BBR065,c000050
1223,b000297,BBR065,c000361
1224,b000297,BBR065,c000742
1225,b000298,GGC013,c000848
1226,b000298,GGC013,c000835
1227,b000298,GGC013,c000860
1228,b000299,r03803,c000443
1229,b000299,r03803,c000746
1230,b000300,r01801,c000234
1231,b000300,r01801,c000380
